date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:01:59	16643/16643	---M-Z	200	added ('OK')	text/html	etag:W/%2260f67392-4103%22	https://f-nh-s.github.io/Personal-Website/	C:/Users/eldho/Downloads/neons%20website/f-nh-s.github.io/Personal-Website/index.html	(from )
21:01:59	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f7bc6b3-239b%22	https://f-nh-s.github.io/robots.txt		(from )
21:01:59	26129/26129	---M--	200	added ('OK')	image/jpeg	date:Tue,%2013%20Jul%202021%2008:50:44%20GMT	https://media.discordapp.net/attachments/863680195747381258/864428622729969684/Msk-Square.jpg?width=469&height=469	C:/Users/eldho/Downloads/neons%20website/media.discordapp.net/attachments/863680195747381258/864428622729969684/Msk-Square0810.jpg	(from https://f-nh-s.github.io/Personal-Website/)
21:02:00	172544/172544	---M--	200	added ('OK')	image/gif	etag:%2260f67391-2a200%22	https://f-nh-s.github.io/Personal-Website/assets/img/RMRP.gif	C:/Users/eldho/Downloads/neons%20website/f-nh-s.github.io/Personal-Website/assets/img/RMRP.gif	(from https://f-nh-s.github.io/Personal-Website/)
21:02:00	75167/75167	---M--	200	added ('OK')	image/jpeg	etag:%2260f67391-1259f%22	https://f-nh-s.github.io/Personal-Website/assets/img/Product-1.jpg	C:/Users/eldho/Downloads/neons%20website/f-nh-s.github.io/Personal-Website/assets/img/Product-1.jpg	(from https://f-nh-s.github.io/Personal-Website/)
21:02:00	141909/141909	---M--	200	added ('OK')	image/jpeg	etag:%2260f67391-22a55%22	https://f-nh-s.github.io/Personal-Website/assets/img/Other-1.jpg	C:/Users/eldho/Downloads/neons%20website/f-nh-s.github.io/Personal-Website/assets/img/Other-1.jpg	(from https://f-nh-s.github.io/Personal-Website/)
21:02:01	154175/154175	---M--	200	added ('OK')	image/jpeg	etag:%2260f67391-25a3f%22	https://f-nh-s.github.io/Personal-Website/assets/img/Product-3.jpg	C:/Users/eldho/Downloads/neons%20website/f-nh-s.github.io/Personal-Website/assets/img/Product-3.jpg	(from https://f-nh-s.github.io/Personal-Website/)
21:02:01	9096430/9096430	---M--	200	added ('OK')	image/gif	etag:%2260f67391-8accee%22	https://f-nh-s.github.io/Personal-Website/assets/img/CRLN.gif	C:/Users/eldho/Downloads/neons%20website/f-nh-s.github.io/Personal-Website/assets/img/CRLN.gif	(from https://f-nh-s.github.io/Personal-Website/)
21:02:01	76783/76783	---M--	200	added ('OK')	image/jpeg	etag:%2260f67391-12bef%22	https://f-nh-s.github.io/Personal-Website/assets/img/Toys-1.jpg	C:/Users/eldho/Downloads/neons%20website/f-nh-s.github.io/Personal-Website/assets/img/Toys-1.jpg	(from https://f-nh-s.github.io/Personal-Website/)
21:02:01	122685/122685	---M--	200	added ('OK')	image/jpeg	etag:%2260f67391-1df3d%22	https://f-nh-s.github.io/Personal-Website/assets/img/Product-2.jpg	C:/Users/eldho/Downloads/neons%20website/f-nh-s.github.io/Personal-Website/assets/img/Product-2.jpg	(from https://f-nh-s.github.io/Personal-Website/)
